Entidad,tipo_de_dato,Sector,oct_22,nov_22,oct_23,nov_23
Nayarit,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Nayarit,Índice,61 Servicios educativos,ND,ND,ND,ND
Nayarit,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Nayarit,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Nayarit,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,101.9,126.5,100.5,115.6
Nayarit,Variación anual del índice,51 Información en medios masivos,16.3,52.2,33.1,5.2
Nayarit,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Nayarit,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Nayarit,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Nayarit,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Nayarit,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Nayarit,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,24.2,-0.5,-1.3,-8.7
Nuevo León,Índice,51 Información en medios masivos,72.6,70.9,77.1,76.6
Nuevo León,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,153.3,162.1,118.2,107.6
Nuevo León,Índice,"54 Servicios profesionales, científicos y técnicos",154.8,166.0,149.4,146.0
Nuevo León,Índice,61 Servicios educativos,ND,ND,ND,ND
Nuevo León,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Nuevo León,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",91.3,79.6,101.2,98.7
Nuevo León,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,77.1,82.1,57.8,60.5
Nuevo León,Variación anual del índice,51 Información en medios masivos,-0.3,-4.1,6.2,8.0
Nuevo León,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,39.8,51.8,-22.9,-33.6
Nuevo León,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",77.3,84.4,-3.5,-12.0
Nuevo León,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Nuevo León,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Nuevo León,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",-9.8,-2.6,10.8,23.9
Nuevo León,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,14.4,75.1,-25.1,-26.3
Oaxaca,Índice,51 Información en medios masivos,82.4,84.5,73.8,66.6
Oaxaca,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Oaxaca,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Oaxaca,Índice,61 Servicios educativos,ND,ND,ND,ND
Oaxaca,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Oaxaca,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Oaxaca,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,132.9,123.5,137.0,141.6
Oaxaca,Variación anual del índice,51 Información en medios masivos,33.0,29.7,-10.4,-21.1
Oaxaca,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Oaxaca,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Oaxaca,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Oaxaca,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Oaxaca,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
